ID,surveyExpUnderstanding,all clear,Calculations are too complicated,payoff mechanism is not clear enough/inconsistent with the description,The description/flow of the text is unclear or not enough,The purpose or motivation is not clear,The instruction or questions are too long/too complicate,Fairness,Suggestions,Others
6,how do decide the probabilities?,,1,,,,,,,
18,none,1,,,,,,,,
4,NA,1,,,,,,,,
13,"Part 1 was a bit unclear. I'm not sure why we need to adjust our probabilities given some adjustments to the scenario, when the choices in X and Y will always be the same",,,,,1,,,,
5,N/A,1,,,,,,,,
22,"the mathematical equations were difficult to understand, however this lack of understanding did not stop me from understanding the instructions in general",,1,,,,,,,
1,Nope,1,,,,,,,,
8,None. All parts were clearly explained and the practice questions were adequately put through. ,1,,,,,,,,
20,Yes. I wasn't sure if the prediction from Q1 or Q2 of Stage 2 would amount to the payment.,,,1,,,,,,
16,The instructions are quite clear unless I misinterpreted it so that I made the comments above.,1,,,,,,,,
23,N/A,1,,,,,,,,
7,No.,1,,,,,,,,
11,"I suppose exactly how the payments were being chosen was a little confusing. Whether the entire payment would be based on a single response from anywhere in the experiment likely beyond your control (as a member), which is how it appeared.",,,1,,,,,,
10,"no, everything is clear, thank you for explaining everyting clearly",1,,,,,,,,
19,no,1,,,,,,,,
9,All clear,1,,,,,,,,
14,"No, all parts are quite clear.",1,,,,,,,,
21,no,1,,,,,,,,
12,The instructions are little too wieldy and could be made simpler by using shorter phrases.,,,,,,1,,,
2,No,1,,,,,,,,
24,"At the start, I was unsure about the pay offs and the calculations. After the practise task I got a better idea. The diagrams also helped to understand the permutations and possibilities.",1,,,,,,,,
15,"It took a little while to fully understand what we were supposed to do, but it made sense once we got started. Perhaps I make it more difficult for myself, than it is supposed to be",1,,,,,,,,
17,part 1,,,,,,,,,1
3,nope,1,,,,,,,,
31,All of the parts of the questionaire were clear to me. The instructor gave very clear instructions and the written instructions were also comprehensive.,1,,,,,,,,
36,"Part 1 very confusing, instructions too long, design needs to be simpler and easy to understand",,,,,,1,,,
42,I'm not aware of the aim of decisions to modify the leader's payoff,,,,,1,,,,
39,All clear,1,,,,,,,,
43,No,1,,,,,,,,
40,"no, the instructions were clear when examples",1,,,,,,,,
41,It is stressful knowing that money will be earned either via part one or part two. And if it's part two and partner choice gets selected then i leave with very little money? (possibly only the min $5?) not sure if the min that we can earn should already be slightly more,,,1,,,,1,,
25,no,1,,,,,,,,
34,"No, all thye parts were very clear to me",1,,,,,,,,
47,All good,1,,,,,,,,
48,In the first moment I was confused if my endowment is 300ECU in total for stage 1. But that question was quickly solved after reading the instructions again. ,1,,,,,,,,
32,no,1,,,,,,,,
38,"It seems to me as a leader, the strategy is to always choose Y looking at the payouts.",,,,,1,,,,
45,The prediction of the member,,,,1,,,,,
29,All the parts are clear.,1,,,,,,,,
37,No,1,,,,,,,,
46,Not applicable.,1,,,,,,,,
26,No. All parts of experiment were well explained and were clear to me.,1,,,,,,,,
30,"Payment is a bit difficult to understand at first, whether we were getting paid for stage 1 or 2 or part 1 or 2.",,,1,,,,,,
27,"part 2 has many questions to answer, some are a little bit of tricky and first and in general they are fine.",,,,,,1,,,
28,"Yes, for part 1 stage 2, there were no instructions in the instructions sheet that tell me what to do if I am the Leader.",,,,1,,,,,
33,none,1,,,,,,,,
44,No,1,,,,,,,,
